City,CycleStartDate,CycleLength
Perth,2026-01-20,7
Perth,2026-01-27,7
Perth,2026-02-03,7
Perth,2026-02-10,7
Perth,2026-02-17,7

Adelaide,2025-11-02,15
Adelaide,2025-11-17,17
Adelaide,2025-12-04,14
Adelaide,2025-12-18,26
Adelaide,2026-01-13,32

Brisbane,2025-08-03,37
Brisbane,2025-09-09,36
Brisbane,2025-10-15,35
Brisbane,2025-11-19,35
Brisbane,2025-12-24,41

Melbourne,2025-08-01,37
Melbourne,2025-09-07,40
Melbourne,2025-10-17,33
Melbourne,2025-11-19,35
Melbourne,2025-12-24,41

Sydney,2025-08-29,35
Sydney,2025-10-03,33
Sydney,2025-11-05,28
Sydney,2025-12-03,39
Sydney,2026-01-11,31
