City,CycleStartDate,DaysToPeak,PeakDate,DaysToNextCycle,CycleLength
Perth,2026-01-20,1,2026-01-21,6,7
Perth,2026-01-27,1,2026-01-28,6,7
Perth,2026-02-03,1,2026-02-04,6,7
Perth,2026-02-10,1,2026-02-11,6,7
Perth,2026-02-17,1,2026-02-18,6,7

Adelaide,2025-11-02,4,2025-11-06,11,15
Adelaide,2025-11-17,6,2025-11-23,11,17
Adelaide,2025-12-04,6,2025-12-10,8,14
Adelaide,2025-12-18,6,2025-12-24,20,26
Adelaide,2026-01-13,9,2026-01-22,23,32

Brisbane,2025-08-03,12,2025-08-15,25,37
Brisbane,2025-09-09,12,2025-09-21,24,36
Brisbane,2025-10-15,13,2025-10-28,22,35
Brisbane,2025-11-19,13,2025-12-02,22,35
Brisbane,2025-12-24,19,2026-01-12,22,41

Melbourne,2025-08-01,13,2025-08-14,24,37
Melbourne,2025-09-07,15,2025-09-22,25,40
Melbourne,2025-10-17,13,2025-10-30,20,33
Melbourne,2025-11-19,14,2025-12-03,21,35
Melbourne,2025-12-24,19,2026-01-12,22,41

Sydney,2025-08-29,14,2025-09-12,21,35
Sydney,2025-10-03,13,2025-10-16,20,33
Sydney,2025-11-05,14,2025-11-19,14,28
Sydney,2025-12-03,12,2025-12-15,27,39
Sydney,2026-01-11,16,2026-01-27,15,31
