City,CycleStartDate,DaysToPeak
Perth,2026-01-20,1
Perth,2026-01-27,1
Perth,2026-02-03,1
Perth,2026-02-10,1
Perth,2026-02-17,1

Adelaide,2025-11-02,4
Adelaide,2025-11-17,6
Adelaide,2025-12-04,6
Adelaide,2025-12-18,6
Adelaide,2026-01-13,9

Brisbane,2025-08-03,12
Brisbane,2025-09-09,12
Brisbane,2025-10-15,13
Brisbane,2025-11-19,13
Brisbane,2025-12-24,19

Melbourne,2025-08-01,13
Melbourne,2025-09-07,15
Melbourne,2025-10-17,13
Melbourne,2025-11-19,14
Melbourne,2025-12-24,19

Sydney,2025-08-29,14
Sydney,2025-10-03,13
Sydney,2025-11-05,14
Sydney,2025-12-03,12
Sydney,2026-01-11,16
