Month,Mode,Passengers
January,Metropolitan Train,13379440
January,Metropolitan Tram,12523366
January,Metropolitan Bus,8183939
January,Regional Train,1923083
January,Regional Coach,122422
January,Regional Bus,782149
February,Metropolitan Train,14514256
February,Metropolitan Tram,13058985
February,Metropolitan Bus,9179004
February,Regional Train,1927292
February,Regional Coach,104244
February,Regional Bus,1025310
March,Metropolitan Train,17994138
March,Metropolitan Tram,15300456
March,Metropolitan Bus,10650660
March,Regional Train,2340160
March,Regional Coach,119824
March,Regional Bus,1147175
April,Metropolitan Train,15480989
April,Metropolitan Tram,13414808
April,Metropolitan Bus,9353277
April,Regional Train,2107410
April,Regional Coach,116481
April,Regional Bus,961133
May,Metropolitan Train,17588793
May,Metropolitan Tram,14443916
May,Metropolitan Bus,10384586
May,Regional Train,2334482
May,Regional Coach,111430
May,Regional Bus,1110728
June,Metropolitan Train,14442545
June,Metropolitan Tram,11792860
June,Metropolitan Bus,8809813
June,Regional Train,1995473
June,Regional Coach,110283
June,Regional Bus,962106
July,Metropolitan Train,15451503
July,Metropolitan Tram,12651420
July,Metropolitan Bus,9573219
July,Regional Train,2222082
July,Regional Coach,113079
July,Regional Bus,956183
August,Metropolitan Train,16189046
August,Metropolitan Tram,12233414
August,Metropolitan Bus,9969102
August,Regional Train,2230571
August,Regional Coach,106863
August,Regional Bus,990904
September,Metropolitan Train,14998479
September,Metropolitan Tram,11515404
September,Metropolitan Bus,9143531
September,Regional Train,2136275
September,Regional Coach,105410
September,Regional Bus,940369
October,Metropolitan Train,15977164
October,Metropolitan Tram,12402127
October,Metropolitan Bus,10077976
October,Regional Train,2286247
October,Regional Coach,118470
October,Regional Bus,1117069
November,Metropolitan Train,14297664
November,Metropolitan Tram,12265500
November,Metropolitan Bus,8815809
November,Regional Train,2060472
November,Regional Coach,107793
November,Regional Bus,936233
December,Metropolitan Train,14894850
December,Metropolitan Tram,12069311
December,Metropolitan Bus,8281774
December,Regional Train,2157499
December,Regional Coach,122578
December,Regional Bus,895411
