Year,Month,MonthName,MetroTrain,MetroTram,MetroBus,RegionalTrain,RegionalCoach,RegionalBus
2025,1,January,13379440,12523366,8183939,1923083,122422,782149
2025,2,February,14514256,13058985,9179004,1927292,104244,1025310
2025,3,March,17994138,15300456,10650660,2340160,119824,1147175
2025,4,April,15480989,13414808,9353277,2107410,116481,961133
2025,5,May,17588793,14443916,10384586,2334482,111430,1110728
2025,6,June,14442545,11792860,8809813,1995473,110283,962106
2025,7,July,15451503,12651420,9573219,2222082,113079,956183
2025,8,August,16189046,12233414,9969102,2230571,106863,990904
2025,9,September,14998479,11515404,9143531,2136275,105410,940369
2025,10,October,15977164,12402127,10077976,2286247,118470,1117069
2025,11,November,14297664,12265500,8815809,2060472,107793,936233
2025,12,December,14894850,12069311,8281774,2157499,122578,895411
2026,1,January,14263509,,7624940,1604510,110891,771902
